term,score
com,751.5303384163483
game,627.1887114778376
just,586.4102526662664
unk,522.1268325648565
love,491.56807341644463
like,489.08726837782467
nan,466.0
pic,461.8954640422012
good,450.12380883794
twitter,439.8067264319411
fuck,363.5888261767132
best,362.87212397697755
play,360.13188972766324
really,355.120250988041
shit,349.2939286075958
new,339.59120509433035
time,320.7153033763982
amazon,309.6542897063585
